Transaction_ID,Payment_Method,Customer_ID,_Item_Identifier,_Outlet_Identifier,Transaction_Date,Units_Sold,Unit_Price,Unit_Margin
OD-5-12533,Cash,452,DRK37,OUT019,17-06-2023,5,34.46407009,21.17176544
OD-1-73579,Debit Card,427,NCU30,OUT010,21-02-2023,1,190.8290517,20.49627458
OD-2-28308,Cash,316,FDF50,OUT013,09-02-2023,5,43.32688484,36.80714629
OD-4-1830,Cash,237,FDJ10,OUT018,03-10-2022,4,100.8737031,41.02402032
OD-2-56839,Credit Card,222,FDW25,OUT013,15-03-2022,5,224.6097496,50.58936184
OD-1-26675,Credit Card,121,FDX35,OUT010,28-05-2023,5,39.20682726,29.20074848
OD-5-2274,Cash,472,DRK37,OUT019,08-07-2022,4,34.46407009,29.74394455
OD-1-3810,Cash,198,FDX49,OUT010,19-12-2023,3,65.21470636,9.906733844
OD-4-37586,Debit Card,476,FDB05,OUT018,18-11-2023,2,78.25460112,38.11173432
OD-4-6987,Credit Card,195,FDW25,OUT018,30-12-2023,3,503.1458286,293.557625
OD-2-21608,Credit Card,327,FDU11,OUT013,05-11-2023,4,36.50426854,6.162095273
OD-3-15783,Cash,260,FDT48,OUT017,25-01-2024,3,222.2090943,128.7626799
OD-3-30997,Cash,437,FDS23,OUT017,15-06-2023,1,232.6511894,210.2741799
OD-3-25920,Debit Card,299,FDT48,OUT017,09-05-2023,2,222.2090943,11.29449456
OD-2-17710,Cash,436,FDU11,OUT013,09-09-2022,4,36.50426854,4.385961086
OD-1-41403,Credit Card,334,FDU11,OUT010,08-05-2022,3,25.26137365,16.35531276
OD-2-2399,Credit Card,434,NCU30,OUT013,22-12-2023,4,226.8383278,97.1175492
OD-5-34717,Cash,192,FDP03,OUT019,24-02-2024,3,5.563407482,3.355801428
OD-3-4189,Credit Card,349,FDT48,OUT017,26-07-2022,2,222.2090943,21.39731515
OD-5-11799,Debit Card,312,DRF23,OUT019,15-04-2023,3,57.34325593,24.61077845
OD-4-13183,Cash,403,DRK37,OUT018,17-03-2022,5,13.43239109,0.692977054
OD-5-50223,Debit Card,372,FDX49,OUT019,15-06-2023,3,68.09822206,25.21093757
OD-1-47255,Debit Card,248,DRK37,OUT010,29-11-2023,5,35.22690415,28.75351996
OD-4-9105,Cash,463,FDJ10,OUT018,23-01-2023,4,100.8737031,96.48758751
OD-5-64231,Cash,469,FDP40,OUT019,29-03-2022,1,34.88180534,14.06698554
OD-4-8629,Cash,278,FDP40,OUT018,13-02-2024,3,34.42402725,5.054717384
OD-3-16034,Cash,142,DRE12,OUT017,12-07-2022,5,46.75249255,24.19288305
OD-5-17203,Credit Card,272,FDT48,OUT019,29-09-2023,3,451.8740318,448.1873311
OD-2-25945,Cash,381,FDJ10,OUT013,14-06-2023,2,26.21847015,13.14875607
OD-3-44602,Credit Card,260,FDF50,OUT017,11-06-2022,3,83.66445872,22.19749313
OD-5-15317,Credit Card,225,FDT48,OUT019,20-12-2022,3,451.8740318,60.17734254
OD-4-9164,Credit Card,123,DRK37,OUT018,15-09-2023,2,13.43239109,1.987675021
OD-5-2856,Debit Card,292,FDF50,OUT019,14-11-2023,1,61.06231589,52.87298236
OD-2-74593,Debit Card,463,FDW25,OUT013,02-11-2022,1,224.6097496,75.30899726
OD-2-23206,Credit Card,389,FDT48,OUT013,04-12-2023,5,241.1920631,36.5396709
OD-5-76200,Debit Card,451,FDS23,OUT019,21-03-2022,3,477.3320903,254.0924784
OD-1-3709,Debit Card,353,FDW02,OUT010,14-10-2022,2,282.7576445,18.07006914
OD-3-44647,Debit Card,419,FDJ10,OUT017,20-01-2023,1,39.92726545,19.31935661
OD-2-43418,Credit Card,330,DRK37,OUT013,07-06-2023,4,31.2000117,20.93499575
OD-2-9342,Cash,293,FDW25,OUT013,26-08-2023,3,224.6097496,142.2589896
OD-5-29941,Cash,442,FDJ10,OUT019,01-07-2022,2,32.19175988,18.45999346
OD-3-7021,Debit Card,397,FDX49,OUT017,08-10-2023,2,51.27518652,13.53334972
OD-3-2751,Credit Card,459,DRE12,OUT017,14-12-2023,4,46.75249255,28.03475558
OD-3-19265,Cash,337,FDP40,OUT017,27-12-2023,3,18.15730745,6.403914066
OD-4-38483,Debit Card,161,FDS23,OUT018,19-10-2022,2,421.9002223,396.4147829
OD-1-25295,Debit Card,447,FDT48,OUT010,04-08-2022,4,458.0801032,405.5804199
OD-4-51932,Credit Card,127,FDB05,OUT018,09-03-2023,3,78.25460112,76.76115821
OD-3-38610,Cash,399,FDU11,OUT017,06-06-2022,5,39.40097257,29.0232174
OD-4-18325,Debit Card,206,FDF50,OUT018,18-08-2023,1,53.33961269,16.27732136
OD-5-46283,Cash,462,NCU30,OUT019,09-05-2022,2,327.2397316,118.3712067
OD-3-9219,Cash,417,FDP03,OUT017,11-03-2023,2,21.09502954,11.63745326
OD-2-25135,Credit Card,109,FDT48,OUT013,24-11-2022,3,241.1920631,31.0181296
OD-1-49358,Cash,182,FDT48,OUT010,08-07-2022,3,458.0801032,63.31450685
OD-4-28670,Credit Card,150,FDP03,OUT018,29-06-2022,5,6.543469643,1.987836929
OD-4-59863,Cash,192,FDT48,OUT018,01-10-2023,3,370.5782602,157.2761642
OD-3-43647,Debit Card,447,DRF23,OUT017,07-10-2023,2,47.62581804,45.54636241
OD-3-19766,Credit Card,460,NCN53,OUT017,30-10-2022,5,49.27073874,5.394825116
OD-1-61903,Credit Card,303,NCK06,OUT010,31-10-2023,2,88.49748541,31.39379713
OD-5-23345,Debit Card,256,FDS45,OUT019,22-06-2023,3,240.4747147,214.16196
OD-5-24495,Credit Card,452,FDY24,OUT019,16-07-2022,1,381.3781884,75.53984407
OD-4-73208,Cash,196,FDS23,OUT018,15-04-2023,2,421.9002223,135.586451
OD-4-48340,Credit Card,172,FDX35,OUT018,03-08-2023,3,43.16332114,1.730646262
OD-1-66367,Credit Card,250,FDF50,OUT010,12-01-2024,1,26.88336657,11.5801717
OD-5-35660,Credit Card,344,FDB05,OUT019,03-12-2023,3,55.01119411,45.84896868
OD-2-73578,Credit Card,203,FDJ10,OUT013,06-09-2022,5,26.21847015,20.06243597
OD-3-57150,Credit Card,464,DRF23,OUT017,16-09-2023,3,47.62581804,40.1608068
OD-1-40822,Debit Card,218,FDS45,OUT010,15-09-2022,2,149.6696002,7.688116635
OD-2-70153,Cash,217,FDX35,OUT013,10-11-2022,1,31.36302106,19.89684598
OD-4-59475,Credit Card,330,FDS23,OUT018,06-08-2022,5,421.9002223,30.580313
OD-4-65170,Credit Card,417,DRK37,OUT018,18-02-2023,4,13.43239109,6.029270264
OD-4-71484,Cash,406,DRF23,OUT018,07-04-2023,5,92.52553193,35.9412788
OD-3-9415,Credit Card,217,FDP03,OUT017,07-04-2022,1,21.09502954,11.26491487
OD-4-59335,Debit Card,158,FDW25,OUT018,30-05-2022,1,503.1458286,120.3451282
OD-1-42532,Credit Card,332,FDX35,OUT010,20-04-2023,1,39.20682726,1.202323199
OD-4-63297,Cash,484,FDU11,OUT018,23-03-2022,3,48.64363088,38.35030248
OD-5-37861,Debit Card,240,FDX35,OUT019,09-11-2022,1,31.24733862,20.10147909
OD-4-63477,Cash,274,NCN53,OUT018,14-04-2022,1,23.64817326,10.48601146
OD-2-18598,Debit Card,390,FDP40,OUT013,04-01-2023,1,46.91868704,20.13186402
OD-1-30842,Credit Card,366,FDW02,OUT010,19-01-2023,2,282.7576445,202.1429107
OD-1-564,Debit Card,342,FDW25,OUT010,24-06-2022,3,129.6596375,2.403376528
OD-1-41980,Cash,327,FDF50,OUT010,17-05-2023,4,26.88336657,9.422049566
OD-3-67255,Cash,498,DRE12,OUT017,26-09-2022,4,46.75249255,24.36769983
OD-4-19133,Credit Card,244,DRK37,OUT018,31-01-2024,2,13.43239109,3.028227863
OD-5-168,Debit Card,316,NCU30,OUT019,09-06-2023,3,327.2397316,47.93059475
OD-3-47613,Credit Card,470,NCU30,OUT017,18-08-2022,4,354.7770506,315.7468306
OD-5-17614,Cash,425,DRE12,OUT019,24-05-2022,2,18.82924101,2.669095689
OD-5-2204,Debit Card,451,FDX49,OUT019,26-06-2023,4,68.09822206,20.8104904
OD-3-22845,Debit Card,467,FDX35,OUT017,15-10-2023,4,69.72216042,44.69829432
OD-4-14825,Cash,214,DRF23,OUT018,30-04-2022,4,92.52553193,59.70870066
OD-5-48266,Debit Card,379,DRF23,OUT019,28-05-2022,1,57.34325593,45.88336462
OD-2-38004,Debit Card,492,FDW25,OUT013,18-09-2022,1,224.6097496,90.31596471
OD-1-69020,Credit Card,315,FDS23,OUT010,23-02-2024,3,313.6433547,10.10360272
OD-4-20916,Credit Card,493,DRF23,OUT018,08-08-2022,5,92.52553193,1.939543933
OD-2-39262,Credit Card,471,DRF23,OUT013,16-10-2022,5,30.09940708,2.920834587
OD-3-36134,Cash,254,FDW25,OUT017,02-01-2023,4,374.2385868,246.6773999
OD-5-20333,Cash,262,DRF23,OUT019,29-09-2022,1,57.34325593,40.28931981
OD-2-53830,Cash,446,DRK37,OUT013,17-07-2022,4,31.2000117,3.938186458
OD-1-6835,Debit Card,294,FDW25,OUT010,14-12-2022,4,129.6596375,5.685275311
OD-1-52626,Debit Card,287,FDU11,OUT010,27-08-2022,4,25.26137365,18.38226565
OD-5-73014,Credit Card,473,FDY24,OUT019,10-02-2024,4,381.3781884,105.4104568
OD-5-24652,Debit Card,450,FDX35,OUT019,14-01-2024,2,31.24733862,21.61939629
OD-1-3127,Cash,190,DRE12,OUT010,11-07-2023,1,43.82929381,38.38320304
OD-4-61326,Debit Card,284,FDX49,OUT018,23-10-2023,3,31.27872377,20.59302996
OD-2-73915,Cash,439,NCN53,OUT013,31-03-2023,2,44.12001739,27.78113253
OD-3-75258,Credit Card,106,FDS23,OUT017,17-02-2023,4,232.6511894,173.5390087
OD-1-31845,Debit Card,105,FDS23,OUT010,30-06-2022,3,313.6433547,220.056884
OD-2-10507,Cash,152,FDJ10,OUT013,18-09-2022,4,26.21847015,20.8998365
OD-4-26304,Credit Card,466,FDP40,OUT018,18-10-2023,2,34.42402725,7.861431541
OD-1-11144,Cash,417,FDS45,OUT010,22-10-2023,5,149.6696002,51.07587119
OD-5-9542,Credit Card,306,FDY24,OUT019,30-08-2023,2,381.3781884,110.2056728
OD-5-43228,Credit Card,320,FDX35,OUT019,24-10-2022,3,31.24733862,21.84334403
OD-4-8491,Cash,261,FDX49,OUT018,05-12-2022,3,31.27872377,6.359216227
OD-5-57673,Credit Card,106,FDX49,OUT019,22-12-2022,5,68.09822206,55.66161377
OD-2-53764,Credit Card,223,FDS23,OUT013,14-07-2022,1,242.0787751,217.278925
OD-2-51877,Cash,189,FDY24,OUT013,03-02-2024,5,459.3341727,404.5109859
OD-3-61814,Credit Card,189,FDS45,OUT017,26-03-2023,5,407.2114092,93.06189929
OD-5-30500,Credit Card,204,FDY24,OUT019,23-09-2023,2,381.3781884,313.7246975
OD-4-43243,Debit Card,463,FDB05,OUT018,09-11-2023,3,78.25460112,53.90678955
OD-3-75386,Cash,174,FDB05,OUT017,08-07-2022,1,56.90300263,22.08435411
OD-5-34860,Cash,361,FDP40,OUT019,21-06-2023,4,34.88180534,1.003281512
OD-5-8177,Credit Card,262,DRF23,OUT019,12-11-2023,2,57.34325593,13.86278531
OD-1-9195,Debit Card,374,NCU30,OUT010,19-03-2023,5,190.8290517,132.0106599
OD-2-36509,Cash,174,FDW25,OUT013,27-08-2023,1,224.6097496,190.8937481
OD-3-67427,Debit Card,103,FDW02,OUT017,18-12-2022,1,324.9458201,93.18580731
OD-4-12745,Cash,483,NCN53,OUT018,05-12-2023,4,23.64817326,0.626763488
OD-5-60786,Debit Card,164,FDJ10,OUT019,18-08-2023,1,32.19175988,24.3095122
OD-5-17327,Cash,387,FDW25,OUT019,14-01-2023,4,327.5622326,17.70270244
OD-5-29193,Cash,117,FDX35,OUT019,29-11-2023,4,31.24733862,16.86944109
OD-3-73816,Debit Card,338,DRE12,OUT017,28-12-2022,4,46.75249255,1.554185369
OD-1-70868,Debit Card,223,FDT48,OUT010,26-03-2023,2,458.0801032,47.56877985
OD-2-38853,Credit Card,260,FDU11,OUT013,04-05-2022,5,36.50426854,11.75690724
OD-3-57566,Cash,387,DRK37,OUT017,10-01-2023,5,28.24807016,14.70535771
OD-3-37836,Debit Card,187,FDJ10,OUT017,28-07-2023,5,39.92726545,33.37625653
OD-2-31035,Debit Card,185,FDX35,OUT013,16-02-2024,2,31.36302106,12.06931768
OD-2-29296,Credit Card,217,FDF50,OUT013,05-03-2023,5,43.32688484,21.56359643
OD-3-67760,Credit Card,331,NCN53,OUT017,24-09-2022,1,49.27073874,28.0932769
OD-2-18500,Debit Card,276,FDT48,OUT013,29-12-2023,1,241.1920631,99.46955434
OD-5-48903,Cash,243,FDX35,OUT019,23-09-2022,4,31.24733862,22.04755013
OD-2-1376,Cash,401,FDJ10,OUT013,24-11-2023,2,26.21847015,1.40603525
OD-2-20179,Debit Card,210,DRK37,OUT013,02-10-2023,3,31.2000117,23.72670379
OD-5-54031,Credit Card,240,FDU11,OUT019,22-08-2022,3,28.08346112,13.91738392
OD-1-45284,Credit Card,244,DRK37,OUT010,10-12-2023,4,35.22690415,19.74596641
OD-2-53826,Credit Card,203,FDF50,OUT013,22-09-2022,2,43.32688484,19.69658525
OD-2-6757,Debit Card,419,FDX49,OUT013,15-07-2022,4,64.62947005,17.99527
OD-2-42916,Credit Card,324,FDF50,OUT013,23-06-2022,1,43.32688484,10.51867671
OD-3-16767,Credit Card,414,FDP03,OUT017,06-03-2022,2,21.09502954,13.89075944
OD-1-55146,Debit Card,144,FDX49,OUT010,25-01-2023,3,65.21470636,14.82566715
OD-5-5627,Credit Card,337,FDP40,OUT019,20-07-2022,2,34.88180534,13.86754538
OD-1-37323,Credit Card,292,FDP40,OUT010,13-09-2023,3,20.9340788,6.698596526
OD-5-18955,Debit Card,361,DRF23,OUT019,27-04-2023,5,57.34325593,9.034857554
OD-4-15317,Credit Card,335,FDF50,OUT018,14-01-2024,2,53.33961269,7.033714746
OD-2-50654,Credit Card,166,FDP40,OUT013,01-02-2023,1,46.91868704,16.67149515
OD-2-16689,Debit Card,188,FDX35,OUT013,12-11-2022,5,31.36302106,21.45780039
OD-1-39412,Debit Card,429,FDU11,OUT010,20-11-2022,5,25.26137365,0.716768798
OD-4-74303,Cash,296,FDF50,OUT018,19-12-2022,2,53.33961269,41.28522236
OD-3-754,Credit Card,109,FDJ10,OUT017,21-10-2022,1,39.92726545,20.62010469
OD-4-965,Debit Card,116,FDU11,OUT018,19-03-2022,5,48.64363088,21.49485315
OD-1-57019,Credit Card,114,DRE12,OUT010,30-05-2022,2,43.82929381,19.83937875
OD-5-4474,Cash,287,FDX49,OUT019,07-10-2023,4,68.09822206,24.01339871
OD-2-76167,Debit Card,338,FDP40,OUT013,18-09-2022,2,46.91868704,9.443064834
OD-4-9887,Debit Card,198,FDF50,OUT018,04-11-2022,2,53.33961269,5.34118376
OD-3-59092,Credit Card,126,FDJ10,OUT017,02-07-2022,4,39.92726545,3.214723807
OD-3-33441,Cash,280,FDX35,OUT017,08-09-2022,1,69.72216042,16.13152652
OD-4-2850,Credit Card,276,NCU30,OUT018,14-12-2022,5,288.2553715,108.9741081
OD-1-28058,Cash,108,FDU11,OUT010,13-10-2022,4,25.26137365,22.07941671
OD-5-42315,Cash,374,FDU11,OUT019,22-12-2023,3,28.08346112,11.99124816
OD-5-14365,Credit Card,237,FDW25,OUT019,05-11-2023,4,327.5622326,196.3850635
OD-1-39861,Credit Card,462,FDS23,OUT010,28-09-2023,4,313.6433547,297.1621895
OD-4-44805,Debit Card,296,FDY24,OUT018,04-05-2023,1,318.521843,2.592511718
OD-1-59299,Credit Card,347,NCU30,OUT010,23-04-2022,3,190.8290517,0.119489939
OD-4-36161,Debit Card,341,FDJ10,OUT018,24-10-2023,3,100.8737031,55.60283839
OD-3-15453,Credit Card,174,NCU30,OUT017,26-11-2022,4,354.7770506,315.0271362
OD-5-63942,Credit Card,187,FDS23,OUT019,29-09-2023,3,477.3320903,385.573933
OD-3-28036,Cash,314,FDU11,OUT017,24-02-2023,3,39.40097257,3.31370358
OD-5-10487,Cash,387,FDF50,OUT019,20-05-2022,3,61.06231589,40.86143193
OD-2-43614,Debit Card,196,FDJ10,OUT013,16-06-2022,1,26.21847015,18.18307574
OD-4-11545,Credit Card,465,NCN53,OUT018,25-11-2022,4,23.64817326,6.576569729
OD-2-25489,Debit Card,345,FDW02,OUT013,12-09-2022,2,147.6781996,138.1628055
OD-4-5944,Debit Card,451,DRE12,OUT018,17-10-2023,5,32.3065121,25.30638249
OD-1-14281,Cash,424,DRF23,OUT010,26-05-2022,1,57.71182436,34.88230402
OD-2-13937,Credit Card,108,FDS45,OUT013,16-11-2023,2,207.6605809,93.34650484
OD-5-61082,Debit Card,333,NCN53,OUT019,17-08-2022,3,47.3451192,45.78927204
OD-3-25724,Cash,314,DRE12,OUT017,30-03-2023,4,46.75249255,40.16768633
OD-1-46531,Cash,191,DRF23,OUT010,09-10-2023,3,57.71182436,29.55395322
OD-1-45318,Cash,204,FDS45,OUT010,30-07-2022,2,149.6696002,89.77626611
OD-1-6031,Debit Card,199,DRE12,OUT010,06-06-2022,5,43.82929381,21.58470185
OD-5-31500,Cash,375,FDP03,OUT019,17-04-2022,4,5.563407482,1.978207882
OD-2-75346,Cash,162,FDS23,OUT013,12-08-2023,3,242.0787751,225.9157678
OD-2-59509,Credit Card,476,FDW02,OUT013,26-05-2022,1,147.6781996,90.11032615
OD-5-42627,Cash,251,DRE12,OUT019,20-09-2022,2,18.82924101,11.66871442
OD-4-54751,Cash,296,DRF23,OUT018,03-03-2022,2,92.52553193,72.62661599
OD-3-26901,Cash,340,FDB05,OUT017,20-01-2024,5,56.90300263,54.75411334
OD-1-65788,Credit Card,335,FDX49,OUT010,13-02-2023,3,65.21470636,11.54197841
OD-2-39552,Credit Card,463,FDF50,OUT013,24-07-2023,3,43.32688484,4.634746372
OD-4-15699,Credit Card,345,FDB05,OUT018,26-04-2022,4,78.25460112,22.03066669
OD-4-44237,Debit Card,155,FDJ10,OUT018,22-08-2023,5,100.8737031,76.84232827
OD-5-14256,Credit Card,448,FDJ10,OUT019,27-10-2023,5,32.19175988,6.758725687
OD-4-52754,Cash,182,FDU11,OUT018,06-11-2023,2,48.64363088,30.80567761
OD-2-45178,Cash,198,FDS45,OUT013,08-07-2022,1,207.6605809,38.40628157
OD-1-14772,Debit Card,172,NCN53,OUT010,01-12-2023,3,26.21917485,18.7177386
OD-4-57709,Debit Card,102,FDT48,OUT018,21-09-2022,3,370.5782602,225.2966739
OD-3-33241,Debit Card,176,FDP40,OUT017,10-04-2022,1,18.15730745,2.24742846
OD-1-67056,Debit Card,377,FDW25,OUT010,19-11-2023,1,129.6596375,103.8755936
OD-2-43221,Cash,136,NCN53,OUT013,22-07-2022,5,44.12001739,26.30577886
OD-4-36790,Cash,110,DRE12,OUT018,21-09-2023,5,32.3065121,15.52204921
OD-5-31018,Cash,198,FDW25,OUT019,21-12-2023,2,327.5622326,28.9283079
OD-4-45386,Credit Card,379,FDU11,OUT018,12-11-2023,2,48.64363088,20.05613927
OD-3-12620,Debit Card,455,FDW25,OUT017,20-07-2023,5,374.2385868,202.0140741
OD-4-29337,Credit Card,191,FDB05,OUT018,04-08-2022,1,78.25460112,74.87836856
OD-3-21546,Debit Card,242,NCU30,OUT017,30-03-2023,4,354.7770506,86.56154481
OD-1-36274,Debit Card,210,FDW02,OUT010,19-07-2022,3,282.7576445,206.237551
OD-5-8665,Debit Card,360,FDT48,OUT019,01-08-2023,3,451.8740318,197.2687276
OD-2-20219,Credit Card,329,DRK37,OUT013,23-04-2022,5,31.2000117,0.208368973
OD-1-25526,Debit Card,238,FDW25,OUT010,06-01-2024,4,129.6596375,95.84017692
OD-4-24468,Debit Card,137,FDP40,OUT018,20-05-2022,5,34.42402725,32.33945873
OD-5-55974,Credit Card,203,DRF23,OUT019,19-03-2023,2,57.34325593,46.65947613
OD-1-23358,Credit Card,396,FDF50,OUT010,31-12-2022,1,26.88336657,15.4884264
OD-3-74491,Debit Card,321,FDU11,OUT017,26-05-2022,4,39.40097257,36.61610807
OD-1-3472,Cash,491,FDT48,OUT010,14-03-2022,4,458.0801032,290.8048525
OD-4-10455,Debit Card,473,DRF23,OUT018,21-04-2022,4,92.52553193,59.2105816
OD-2-15444,Cash,208,NCU30,OUT013,25-10-2023,1,226.8383278,26.49217713
OD-2-6281,Credit Card,328,FDT48,OUT013,30-12-2022,4,241.1920631,190.661361
OD-3-72512,Cash,431,FDX49,OUT017,27-07-2022,2,51.27518652,44.34256224
OD-4-38717,Credit Card,303,FDW25,OUT018,12-06-2023,1,503.1458286,351.1092343
OD-1-38014,Credit Card,316,FDF50,OUT010,22-08-2023,4,26.88336657,0.543170379
OD-1-32793,Cash,122,NCU30,OUT010,16-01-2023,4,190.8290517,5.201745303
OD-1-33438,Credit Card,491,FDU11,OUT010,20-05-2022,2,25.26137365,16.64716215
OD-1-13545,Credit Card,223,FDS45,OUT010,08-04-2023,5,149.6696002,122.6620619
OD-2-37650,Credit Card,284,FDB05,OUT013,19-08-2022,4,67.97211434,50.49952059
OD-5-60247,Cash,297,FDX49,OUT019,15-05-2023,2,68.09822206,4.622876457
OD-2-36989,Credit Card,408,FDW02,OUT013,24-12-2023,4,147.6781996,115.4543161
OD-4-30348,Debit Card,495,FDF50,OUT018,21-12-2023,5,53.33961269,34.99824184
OD-2-7434,Credit Card,240,FDX35,OUT013,17-12-2022,5,31.36302106,25.77405557
OD-1-28461,Debit Card,262,DRE12,OUT010,05-01-2024,2,43.82929381,41.02706695
OD-4-20757,Cash,446,FDW25,OUT018,16-08-2022,5,503.1458286,250.1729024
OD-1-63122,Credit Card,217,FDX35,OUT010,30-11-2023,5,39.20682726,27.45534848
OD-3-72008,Credit Card,348,FDX49,OUT017,06-01-2023,4,51.27518652,46.71496198
OD-1-14592,Cash,445,DRF23,OUT010,19-04-2023,5,57.71182436,0.366174922
OD-3-33175,Debit Card,243,FDU11,OUT017,20-11-2023,5,39.40097257,12.58599319
OD-4-37494,Credit Card,399,FDY24,OUT018,07-02-2024,3,318.521843,113.49213
OD-1-17028,Cash,282,FDY24,OUT010,25-02-2023,5,271.9198837,248.2280001
OD-1-34822,Credit Card,410,DRF23,OUT010,09-03-2023,3,57.71182436,52.6686254
OD-1-68200,Cash,198,FDU11,OUT010,02-10-2023,5,25.26137365,6.914501199
OD-1-12878,Credit Card,291,FDT48,OUT010,06-04-2023,3,458.0801032,5.689221819
OD-3-2598,Credit Card,302,FDF50,OUT017,20-05-2022,3,83.66445872,2.079758573
OD-2-62855,Debit Card,216,DRF23,OUT013,02-03-2022,3,30.09940708,23.85464307
OD-4-73035,Credit Card,378,FDF50,OUT018,28-06-2023,5,53.33961269,20.02705257
OD-2-34319,Credit Card,418,FDX35,OUT013,24-09-2022,4,31.36302106,4.453454066
OD-5-34783,Credit Card,407,FDW02,OUT019,25-11-2022,3,181.9553208,122.3983248
OD-4-1425,Credit Card,235,FDJ10,OUT018,26-01-2024,5,100.8737031,68.98047634
OD-1-72964,Cash,142,DRK37,OUT010,31-03-2023,2,35.22690415,15.95672448
OD-3-59022,Debit Card,107,NCN53,OUT017,17-11-2023,4,49.27073874,29.14975871
OD-4-58393,Cash,107,FDW02,OUT018,18-01-2024,5,307.6388341,102.1457893
OD-3-58778,Cash,174,FDB05,OUT017,21-01-2024,4,56.90300263,43.42597405
OD-2-49855,Credit Card,139,FDS45,OUT013,11-09-2022,2,207.6605809,188.8808742
OD-2-37469,Credit Card,137,FDX49,OUT013,24-04-2022,1,64.62947005,31.75939995
OD-5-18361,Debit Card,479,DRF23,OUT019,18-09-2022,5,57.34325593,33.05289667
OD-3-23429,Cash,283,FDP40,OUT017,20-08-2023,5,18.15730745,4.882179975
