Item_Identifier,Item_Fat_Content,Item_Type,Brand,Item_Name
NCO43,Low Fat,Others,Johnson & Johnson,Johnson & Johnson Low Fat Miscellaneous Items
NCH29,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
FDI21,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
NCK29,Low Fat,Health and Hygiene,Colgate,Colgate Low Fat Health and Hygiene
FDW03,Regular,Meat,Tyson,Tyson Regular Meat
FDV24,Low Fat,Baking Goods,King Arthur,King Arthur Low Fat Baking Goods
DRF01,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
FDX43,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
FDR57,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
FDK28,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
FDQ11,Regular,Breads,Wonder,Wonder Regular Breads
DRC25,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
DRF48,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
FDS08,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
FDU50,Regular,Dairy,Amul,Amul Regular Dairy Products
FDO28,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
FDW23,Low Fat,Baking Goods,Pillsbury,Pillsbury Low Fat Baking Goods
FDL58,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
FDU59,Low Fat,Breads,Wonder,Wonder Low Fat Breads
DRG48,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
FDQ31,Regular,Fruits and Vegetables,Del Monte,Del Monte Regular Fruits and Vegetables
FDS56,Regular,Fruits and Vegetables,Del Monte,Del Monte Regular Fruits and Vegetables
FDK10,Regular,Snack Foods,Lay's,Lay's Regular Potato Chips
FDY50,Low Fat,Dairy,Amul,Amul Low Fat Dairy Products
NCJ30,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDT07,Regular,Fruits and Vegetables,Del Monte,Del Monte Regular Fruits and Vegetables
NCE06,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDR16,Regular,Frozen Foods,Birds Eye,Birds Eye Regular Frozen Foods
FDW27,Regular,Meat,Tyson,Tyson Regular Meat
DRM59,Low Fat,Hard Drinks,Red Bull,Red Bull Low Fat Energy Drink
NCT42,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDN28,Regular,Frozen Foods,Birds Eye,Birds Eye Regular Frozen Foods
FDN40,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
FDM38,Regular,Canned,Del Monte,Del Monte Regular Canned Goods
FDV25,Low Fat,Canned,Del Monte,Del Monte Low Fat Canned Goods
DRC01,Regular,Soft Drinks,Coca-Cola,Coca-Cola Regular Soft Drinks
FDE51,Regular,Dairy,Amul,Amul Regular Dairy Products
FDT11,Regular,Breads,Wonder,Wonder Regular Breads
FDI26,Low Fat,Canned,Del Monte,Del Monte Low Fat Canned Goods
NCS30,Low Fat,Household,Unilever,Unilever Low Fat Household Item
DRH11,Low Fat,Hard Drinks,Red Bull,Red Bull Low Fat Energy Drink
FDY31,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
FDA36,Low Fat,Baking Goods,Pillsbury,Pillsbury Low Fat Baking Goods
FDT40,Low Fat,Frozen Foods,Birds Eye,Birds Eye Low Fat Frozen Foods
DRI03,Low Fat,Dairy,Amul,Amul Low Fat Dairy Products
FDZ36,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
FDD46,Low Fat,Snack Foods,Lay's,Lay's Low Fat Potato Chips
FDZ55,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
FDB08,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
NCM31,Low Fat,Others,Unilever,Unilever Low Fat Miscellaneous Items
FDR44,Regular,Fruits and Vegetables,Del Monte,Del Monte Regular Fruits and Vegetables
DRM49,Regular,Soft Drinks,Coca-Cola,Coca-Cola Regular Soft Drinks
DRB13,Regular,Soft Drinks,Coca-Cola,Coca-Cola Regular Soft Drinks
FDH04,Regular,Frozen Foods,Birds Eye,Birds Eye Regular Frozen Foods
FDG44,Low Fat,Fruits and Vegetables,Del Monte,Del Monte Low Fat Fruits and Vegetables
DRG15,Low Fat,Dairy,Amul,Amul Low Fat Dairy Products
NCM42,Low Fat,Household,Unilever,Unilever Low Fat Household Item
FDM24,Regular,Baking Goods,Pillsbury,Pillsbury Regular Baking Goods
DRJ01,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks V2
DRD25,Low Fat,Soft Drinks,Coca-Cola,Coca-Cola Low Fat Soft Drinks
FDU36,Low Fat,Baking Goods,Pillsbury,Pillsbury Low Fat Baking Goods
FDW51,Regular,Meat,Tyson,Tyson Regular Meat
FDL27,Low Fat,Meat,Tyson,Tyson Low Fat Meat
FDX34,Low Fat,Snack Foods,Lay's,Lay's Low Fat Potato Chips
FDQ60,Regular,Baking Goods,Pillsbury,Pills
